H,cat,py
-23.070858062030304,1,1990
-29.09427651818457,1,1991
-13.621371043387192,1,1992
-38.5727675735648,1,1993
-29.672684866786405,1,1994
-57.571869086610526,1,1995
-115.65729249325184,1,1996
-112.46827477277246,1,1997
-96.86585538733199,1,1998
-92.66725169397768,1,1999
-129.42201059867168,1,2000
-107.78534175965572,1,2001
-167.38037051314507,1,2002
-178.75693078131897,1,2003
-205.754716608818,1,2004
-192.19998627916743,1,2005
-247.74323829594613,1,2006
-341.06851584363415,1,2007
-384.22668240815767,1,2008
-394.95533194792824,1,2009
-557.0457540847908,1,2010
-644.6447593316939,1,2011
-867.278597871123,1,2012
-950.2034875659266,1,2013
-1170.9942402512188,1,2014
-1550.2858126176732,1,2015
-1553.538982668792,1,2016
-1772.1078252475322,1,2017
-1844.3524265179892,1,2018
-14.04639368137266,2,1990
-24.41214529106035,2,1991
-31.00381902306901,2,1992
-44.79754116522596,2,1993
-46.380286537904006,2,1994
-41.16190622563084,2,1995
-97.82860969260079,2,1996
-43.39334173877293,2,1997
-112.08558197380258,2,1998
-72.77598550267578,2,1999
-91.28095733285778,2,2000
-184.67557215580266,2,2001
-183.23271860555982,2,2002
-188.87467267146715,2,2003
-198.9378549418457,2,2004
-188.2170199490559,2,2005
-244.40138168915365,2,2006
-313.2457047935032,2,2007
-367.277732191548,2,2008
-566.0055818935102,2,2009
-631.0142148214741,2,2010
-843.6489263617638,2,2011
-875.3276543259572,2,2012
-996.0918573346307,2,2013
-1023.4281872429117,2,2014
-1234.5165648629702,2,2015
-1477.2049722369593,2,2016
-2039.2752439599158,2,2017
-1908.437599528774,2,2018
