,docdynamictopic__topic__title,tscore,x1,x2,y1,y2,proportion
0,"{ch4, oxidation, rate}",339.701802029976,-20.0,-15.0,-10.0,-5.0,0.49941416659623444
1,"{emission, greenhouse-gas, reduction}",48.6868826263779,-20.0,-15.0,-10.0,-5.0,0.07157724441177855
2,"{methane, oxidation, source}",38.3177412359616,-20.0,-15.0,-10.0,-5.0,0.05633300350735051
3,"{flux, measurement, surface}",27.9755977291394,-20.0,-15.0,-10.0,-5.0,0.04112845366565584
4,"{soil, content, microbial}",17.5126205952759,-20.0,-15.0,-10.0,-5.0,0.025746259711433604
5,"{wetland, marsh, restoration}",16.7080303035258,-20.0,-15.0,-10.0,-5.0,0.02456338759358025
6,"{rice, paddy, field}",10.2433075205113,-20.0,-15.0,-10.0,-5.0,0.0150592456618575
7,"{production, product, food}",9.34021168332634,-20.0,-15.0,-10.0,-5.0,0.013731555163340637
8,"{co2, mol, concentration}",8.33763805236446,-20.0,-15.0,-10.0,-5.0,0.01225761692878866
9,"{delta, value, isotope}",7.23219114952104,-20.0,-15.0,-10.0,-5.0,0.010632439080449725
10,"{year, period, annual}",6.04831890490862,-20.0,-15.0,-10.0,-5.0,0.008891963855218649
11,"{sediment, erosion, deposit}",5.83017250489863,-20.0,-15.0,-10.0,-5.0,0.008571254921954454
12,"{water, irrigation, deep}",5.72126184643594,-20.0,-15.0,-10.0,-5.0,0.008411139416518332
13,"{n2o, denitrification, nitrous-oxide}",5.32190506329954,-20.0,-15.0,-10.0,-5.0,0.007824023205085875
14,"{ecosystem, net, respiration}",4.71435798571697,-20.0,-15.0,-10.0,-5.0,0.006930835074773564
15,"{vegetation, ndvi, grassland}",4.71075090219485,-20.0,-15.0,-10.0,-5.0,0.006925532104343977
16,"{scale, spatial, pattern}",4.43521437204653,-20.0,-15.0,-10.0,-5.0,0.006520450807310707
17,"{site, elevation, across}",4.3409761763057,-20.0,-15.0,-10.0,-5.0,0.006381906090426084
18,"{temperature, air, mean}",4.24376954201699,-20.0,-15.0,-10.0,-5.0,0.00623899730995798
19,"{lake, diatom, level}",4.22070903648798,-20.0,-15.0,-10.0,-5.0,0.006205094801695624
20,"{forest, stand, disturbance}",4.02513821737593,-20.0,-15.0,-10.0,-5.0,0.0059175754625171734
21,"{model, simulation, simulate}",3.98643330950241,-20.0,-15.0,-10.0,-5.0,0.005860673264196977
22,"{plant, power, grow}",3.85686122643792,-20.0,-15.0,-10.0,-5.0,0.005670182270357385
23,"{degree, day, high}",3.73915128470511,-20.0,-15.0,-10.0,-5.0,0.005497130458152411
24,"{concentration, nutrient, nitrogen}",3.73126866406685,-20.0,-15.0,-10.0,-5.0,0.005485541787167665
25,"{gas, hydrate, pressure}",3.68342374571448,-20.0,-15.0,-10.0,-5.0,0.005415202360405645
26,"{effect, treatment, affect}",3.58506130494762,-20.0,-15.0,-10.0,-5.0,0.005270594365727954
27,"{season, winter, summer}",3.31260848743042,-20.0,-15.0,-10.0,-5.0,0.004870046603001804
28,"{growth, rate, radial}",3.02056932257379,-20.0,-15.0,-10.0,-5.0,0.004440703881653908
29,"{uncertainty, estimate, projection}",2.96488250524881,-20.0,-15.0,-10.0,-5.0,0.004358835651051182
30,"{crop, yield, wheat}",2.85989833835188,-20.0,-15.0,-10.0,-5.0,0.004204492695249011
31,"{permafrost, arctic, thaw}",2.78417154138866,-20.0,-15.0,-10.0,-5.0,0.004093162596414117
32,"{method, approach, propose}",2.60019094149351,-20.0,-15.0,-10.0,-5.0,0.0038226826713226286
33,"{community, diversity, composition}",2.56390377305849,-20.0,-15.0,-10.0,-5.0,0.003769334923757505
34,"{river, flow, discharge}",2.54546053554024,-20.0,-15.0,-10.0,-5.0,0.003742220513296708
35,"{flood, flooding, damage}",2.23803662808123,-20.0,-15.0,-10.0,-5.0,0.0032902598418550785
36,"{sst, pacific, enso}",2.10935528412609,-20.0,-15.0,-10.0,-5.0,0.003101078372213747
37,"{tree, ring, stand}",2.0722760836713,-20.0,-15.0,-10.0,-5.0,0.0030465662151320794
38,"{climate, future, global}",2.04276340816178,-20.0,-15.0,-10.0,-5.0,0.003003178019498335
39,"{data, use, estimate}",2.01773308570148,-20.0,-15.0,-10.0,-5.0,0.0029663795758149464
40,"{biomass, stand, ground}",1.89074232271798,-20.0,-15.0,-10.0,-5.0,0.002779683521564318
41,"{root, fine, shoot}",1.8222006214171,-20.0,-15.0,-10.0,-5.0,0.002678916624162795
42,"{coastal, mangrove, storm}",1.77389328870143,-20.0,-15.0,-10.0,-5.0,0.0026078973767978534
43,"{carbon, sink, net}",1.75349201946299,-20.0,-15.0,-10.0,-5.0,0.002577904356998324
44,"{china, region, province}",1.74737624001821,-20.0,-15.0,-10.0,-5.0,0.0025689132157201517
45,"{ice, sheet, sea}",1.73550734657095,-20.0,-15.0,-10.0,-5.0,0.0025514641074317604
46,"{reservoir, storage, injection}",1.7211274420071,-20.0,-15.0,-10.0,-5.0,0.0025303234246017796
47,"{increase, decrease, concentration}",1.65699242302333,-20.0,-15.0,-10.0,-5.0,0.002436035031475779
48,"{cloud, aerosol, radiative}",1.63785490906893,-20.0,-15.0,-10.0,-5.0,0.0024078999273192897
49,"{ocean, circulation, deep}",1.62463143783517,-20.0,-15.0,-10.0,-5.0,0.0023884593802681593
50,"{snow, cover, depth}",1.62206530817632,-20.0,-15.0,-10.0,-5.0,0.0023846867729481686
51,"{reaction, process, sorbent}",1.54491564416306,-20.0,-15.0,-10.0,-5.0,0.0022712648395756697
52,"{warm, warming, response}",1.50339711232555,-20.0,-15.0,-10.0,-5.0,0.0022102261790445145
53,"{system, power, solar}",1.46879973781781,-20.0,-15.0,-10.0,-5.0,0.002159362689793209
54,"{research, review, development}",1.23593402408105,-20.0,-15.0,-10.0,-5.0,0.001817014089757172
55,"{urban, urbanization, rural}",1.22363516495494,-20.0,-15.0,-10.0,-5.0,0.0017989328654485393
56,"{record, glacial, last}",1.20035574503521,-20.0,-15.0,-10.0,-5.0,0.001764708519187845
57,"{material, waste, concrete}",1.09273079501447,-20.0,-15.0,-10.0,-5.0,0.0016064832039308296
58,"{leaf, photosynthetic, photosynthesis}",1.06749761156199,-20.0,-15.0,-10.0,-5.0,0.001569386523226798
59,"{scenario, future, project}",0.984695818589521,-20.0,-15.0,-10.0,-5.0,0.0014476550864698904
60,"{adsorption, capacity, adsorbent}",0.920996110634306,-20.0,-15.0,-10.0,-5.0,0.0013540066678545835
61,"{ozone, stratospheric, tropospheric}",0.917980942915023,-20.0,-15.0,-10.0,-5.0,0.0013495739051648504
62,"{energy, source, supply}",0.895953055449528,-20.0,-15.0,-10.0,-5.0,0.0013171895050977439
