,docdynamictopic__topic__title,tscore,x1,x2,y1,y2,proportion
0,"{runoff, basin, hydrological}",33.7944812944145,-20.0,-15.0,-10.0,-5.0,0.5254845126180502
1,"{precipitation, annual, wet}",4.20318430709829,-20.0,-15.0,-10.0,-5.0,0.06535706933381556
2,"{change, response, shift}",2.45631678627154,-20.0,-15.0,-10.0,-5.0,0.038194296223234815
3,"{trend, station, significant}",1.94600877308481,-20.0,-15.0,-10.0,-5.0,0.030259303664587813
4,"{river, discharge, basin}",1.57096335742363,-20.0,-15.0,-10.0,-5.0,0.024427565762135606
5,"{model, simulation, simulate}",1.54840848000113,-20.0,-15.0,-10.0,-5.0,0.024076850547238043
6,"{temperature, thermal, warm}",1.38138802836345,-20.0,-15.0,-10.0,-5.0,0.02147977974560456
7,"{rainfall, monsoon, rain}",1.3161881158789,-20.0,-15.0,-10.0,-5.0,0.02046595905884213
8,"{winter, summer, spring}",1.131287424271,-20.0,-15.0,-10.0,-5.0,0.017590860933623192
9,"{china, province, chinese}",0.999921609860787,-20.0,-15.0,-10.0,-5.0,0.015548198986584126
10,"{climate, future, impact}",0.934330285076743,-20.0,-15.0,-10.0,-5.0,0.014528292066402685
11,"{increase, decrease, result}",0.924647127057399,-20.0,-15.0,-10.0,-5.0,0.014377724595694398
12,"{water, demand, deep}",0.884934985039078,-20.0,-15.0,-10.0,-5.0,0.013760223903444823
13,"{scenario, future, project}",0.704666135497034,-20.0,-15.0,-10.0,-5.0,0.010957148226189966
14,"{land, surface, agricultural}",0.623053833335892,-20.0,-15.0,-10.0,-5.0,0.009688124433483524
15,"{glacier, retreat, glacial}",0.581931765917499,-20.0,-15.0,-10.0,-5.0,0.009048700221969665
16,"{management, research, resource}",0.581909622768525,-20.0,-15.0,-10.0,-5.0,0.009048355908892478
17,"{flow, stream, streamflow}",0.479092266775189,-20.0,-15.0,-10.0,-5.0,0.007449605872395704
18,"{soil, organic, microbial}",0.477745479779629,-20.0,-15.0,-10.0,-5.0,0.007428664118569196
19,"{method, uncertainty, use}",0.468543481821602,-20.0,-15.0,-10.0,-5.0,0.007285578406734781
20,"{flood, flooding, damage}",0.439095589464109,-20.0,-15.0,-10.0,-5.0,0.006827680821969555
21,"{permafrost, arctic, thaw}",0.403261810551683,-20.0,-15.0,-10.0,-5.0,0.006270486418451032
22,"{degree, day, latitude}",0.4016746790242,-20.0,-15.0,-10.0,-5.0,0.006245807447055843
23,"{urban, city, urbanization}",0.399891497905649,-20.0,-15.0,-10.0,-5.0,0.006218080018638518
24,"{effect, treatment, response}",0.383704289374773,-20.0,-15.0,-10.0,-5.0,0.005966378348434159
25,"{event, extreme, weather}",0.369422390386084,-20.0,-15.0,-10.0,-5.0,0.005744303132544638
26,"{drought, index, severe}",0.29612122316488,-20.0,-15.0,-10.0,-5.0,0.0046045126503059045
27,"{health, disease, vector}",0.29464802117499,-20.0,-15.0,-10.0,-5.0,0.00458160521690277
28,"{sediment, deposit, erosion}",0.289070173539299,-20.0,-15.0,-10.0,-5.0,0.004494872932990388
29,"{data, use, information}",0.269716882611873,-20.0,-15.0,-10.0,-5.0,0.004193940524472118
30,"{reservoir, injection, storage}",0.262159905774345,-20.0,-15.0,-10.0,-5.0,0.004076433933507201
31,"{irrigation, agricultural, farmer}",0.26047705551805,-20.0,-15.0,-10.0,-5.0,0.004050266591596127
32,"{vegetation, ndvi, cover}",0.243225804633977,-20.0,-15.0,-10.0,-5.0,0.0037820196821705013
33,"{rate, decomposition, litter}",0.232603936881991,-20.0,-15.0,-10.0,-5.0,0.003616855821535414
34,"{record, cal, holocene}",0.229419914849992,-20.0,-15.0,-10.0,-5.0,0.0035673461323327965
35,"{sst, enso, anomaly}",0.221654589591953,-20.0,-15.0,-10.0,-5.0,0.0034465998447069618
36,"{forest, stand, deforestation}",0.214770215489561,-20.0,-15.0,-10.0,-5.0,0.003339551834756482
37,"{lake, diatom, level}",0.207666502211355,-20.0,-15.0,-10.0,-5.0,0.0032290932282977576
38,"{process, solvent, absorption}",0.180453109932965,-20.0,-15.0,-10.0,-5.0,0.002805940819077111
39,"{area, region, study}",0.145604847923848,-20.0,-15.0,-10.0,-5.0,0.002264070629743163
40,"{wind, speed, wave}",0.139000495781915,-20.0,-15.0,-10.0,-5.0,0.0021613767982791706
41,"{crop, yield, wheat}",0.135297658527384,-20.0,-15.0,-10.0,-5.0,0.002103799834364569
42,"{design, problem, propose}",0.132669428739804,-20.0,-15.0,-10.0,-5.0,0.002062932391040236
43,"{ice, sea, antarctic}",0.130582157883436,-20.0,-15.0,-10.0,-5.0,0.002030476544208177
44,"{level, high, low}",0.111715390065353,-20.0,-15.0,-10.0,-5.0,0.0017371092868387953
45,"{delta, value, thousand}",0.0991948410238964,-20.0,-15.0,-10.0,-5.0,0.0015424220373603534
46,"{groundwater, recharge, aquifer}",0.0905792580933872,-20.0,-15.0,-10.0,-5.0,0.0014084547378561206
47,"{environmental, economic, environment}",0.068125128877943,-20.0,-15.0,-10.0,-5.0,0.001059306098933511
0,"{glacier, retreat, glacial}",200.375699371748,-20.0,-15.0,-5.0,0.0,0.5179472994901345
1,"{ice, sea, antarctic}",19.7279790614349,-20.0,-15.0,-5.0,0.0,0.050994474436298946
2,"{runoff, basin, hydrological}",13.4469114454955,-20.0,-15.0,-5.0,0.0,0.03475866330854777
3,"{precipitation, annual, wet}",9.49343945196477,-20.0,-15.0,-5.0,0.0,0.02453940943155876
4,"{record, cal, holocene}",9.27169255664572,-20.0,-15.0,-5.0,0.0,0.023966220137842352
5,"{model, simulation, simulate}",9.05120363896537,-20.0,-15.0,-5.0,0.0,0.023396282566379826
6,"{winter, summer, spring}",8.92175776844003,-20.0,-15.0,-5.0,0.0,0.02306168042011676
7,"{river, discharge, basin}",7.68298146984327,-20.0,-15.0,-5.0,0.0,0.019859591341739015
8,"{temperature, thermal, warm}",7.39574118599491,-20.0,-15.0,-5.0,0.0,0.01911710944502947
9,"{change, response, shift}",6.21504853727203,-20.0,-15.0,-5.0,0.0,0.016065159678409744
10,"{degree, day, latitude}",5.62137358826328,-20.0,-15.0,-5.0,0.0,0.01453058069713543
11,"{flow, stream, streamflow}",5.2652517333855,-20.0,-15.0,-5.0,0.0,0.013610048149517679
12,"{increase, decrease, result}",5.12807257795475,-20.0,-15.0,-5.0,0.0,0.013255456383527755
13,"{data, use, information}",4.98216483609005,-20.0,-15.0,-5.0,0.0,0.012878302261992693
14,"{climate, future, impact}",4.62110873199654,-20.0,-15.0,-5.0,0.0,0.011945015268280373
15,"{lake, diatom, level}",4.55508964272124,-20.0,-15.0,-5.0,0.0,0.011774363791518711
16,"{trend, station, significant}",4.41321487891685,-20.0,-15.0,-5.0,0.0,0.011407634437566696
17,"{sediment, deposit, erosion}",3.85335481598013,-20.0,-15.0,-5.0,0.0,0.009960462906290001
18,"{rate, decomposition, litter}",3.66641077721522,-20.0,-15.0,-5.0,0.0,0.009477234848508279
19,"{area, region, study}",3.66337903313411,-20.0,-15.0,-5.0,0.0,0.009469398151421358
20,"{water, demand, deep}",3.04831247583563,-20.0,-15.0,-5.0,0.0,0.007879524412448604
21,"{permafrost, arctic, thaw}",2.5574071173217,-20.0,-15.0,-5.0,0.0,0.006610592573184983
22,"{scale, spatial, large}",2.25789110885615,-20.0,-15.0,-5.0,0.0,0.005836379391520755
23,"{groundwater, recharge, aquifer}",2.15797851834826,-20.0,-15.0,-5.0,0.0,0.005578117253941801
24,"{scenario, future, project}",2.14195977171343,-20.0,-15.0,-5.0,0.0,0.005536710703213642
25,"{sst, enso, anomaly}",2.04077917364139,-20.0,-15.0,-5.0,0.0,0.005275170917219019
26,"{flux, surface, measurement}",1.87608665984924,-20.0,-15.0,-5.0,0.0,0.004849460399265299
27,"{temperature, degreesc, warm}",1.63739494391294,-20.0,-15.0,-5.0,0.0,0.004232470763957734
28,"{year, period, annual}",1.57401047375504,-20.0,-15.0,-5.0,0.0,0.004068629463586327
29,"{method, uncertainty, use}",1.44244638904773,-20.0,-15.0,-5.0,0.0,0.0037285519861392272
30,"{china, province, chinese}",1.40707499658112,-20.0,-15.0,-5.0,0.0,0.003637121152636323
31,"{system, performance, hybrid}",1.37357085622444,-20.0,-15.0,-5.0,0.0,0.003550516943274159
32,"{cloud, aerosol, radiative}",1.23122952693717,-20.0,-15.0,-5.0,0.0,0.00318258157316025
33,"{tree, growth, ring}",1.21832234714499,-20.0,-15.0,-5.0,0.0,0.003149218051843274
34,"{reservoir, injection, storage}",1.13567497434354,-20.0,-15.0,-5.0,0.0,0.0029355844441419352
35,"{event, extreme, weather}",1.12752880965968,-20.0,-15.0,-5.0,0.0,0.0029145275794001716
36,"{wind, speed, wave}",1.11380095766615,-20.0,-15.0,-5.0,0.0,0.0028790427182611086
37,"{specie, habitat, distribution}",1.06954824486533,-20.0,-15.0,-5.0,0.0,0.0027646547302857117
38,"{ecosystem, grassland, ecological}",1.05293464757673,-20.0,-15.0,-5.0,0.0,0.002721710561519605
39,"{site, difference, elevation}",0.994888267546135,-20.0,-15.0,-5.0,0.0,0.0025716675878641694
40,"{community, diversity, local}",0.923593916343034,-20.0,-15.0,-5.0,0.0,0.0023873801877935703
41,"{management, research, resource}",0.916080188216674,-20.0,-15.0,-5.0,0.0,0.0023679580961709175
42,"{coastal, sea, rise}",0.915148131351902,-20.0,-15.0,-5.0,0.0,0.0023655488402701593
43,"{effect, treatment, response}",0.877915227786106,-20.0,-15.0,-5.0,0.0,0.002269306222454999
